PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Ben Simmons,F-G,PHI,86,22.0,9.0,8.0,2.0,1.0,2.0,51.8,0.6
Bradley Beal,G,WAS,90,33.0,4.0,3.0,1.0,0.0,1.0,44.3,0.49
Bogdan Bogdanovic,G,ATL,81,18.0,6.0,3.0,0.0,2.0,0.0,35.7,0.44
Derrick Rose,G,NYK,82,26.0,4.0,4.0,0.0,0.0,1.0,35.8,0.44
Matisse Thybulle,F-G,PHI,74,5.0,0.0,0.0,4.0,5.0,0.0,32.0,0.43
Trae Young,G,ATL,87,30.0,1.0,7.0,0.0,0.0,5.0,36.7,0.42
Clint Capela,C,ATL,86,4.0,12.0,0.0,1.0,5.0,1.0,35.4,0.41
Julius Randle,C-F,NYK,89,15.0,12.0,4.0,1.0,0.0,4.0,34.4,0.39
Kevin Huerter,F-G,ATL,76,10.0,5.0,2.0,1.0,3.0,1.0,30.0,0.39
Tobias Harris,F,PHI,87,19.0,9.0,1.0,1.0,0.0,1.0,33.3,0.38
Joel Embiid,C-F,PHI,95,22.0,7.0,3.0,0.0,0.0,1.0,33.9,0.36
Taj Gibson,F,NYK,77,6.0,7.0,1.0,3.0,1.0,0.0,27.9,0.36
Russell Westbrook,G,WAS,88,10.0,6.0,11.0,0.0,0.0,4.0,29.700000000000003,0.34
RJ Barrett,F-G,NYK,83,13.0,8.0,2.0,1.0,0.0,0.0,28.6,0.34
Daniel Gafford,C-F,WAS,78,11.0,6.0,1.0,1.0,1.0,1.0,24.7,0.32
Reggie Bullock,F-G,NYK,75,15.0,4.0,1.0,1.0,0.0,1.0,23.3,0.31
Tyrese Maxey,G,PHI,77,10.0,2.0,2.0,0.0,3.0,1.0,23.4,0.3
De'Andre Hunter,F-G,ATL,81,18.0,6.0,0.0,0.0,0.0,1.0,24.2,0.3
Alec Burks,G,NYK,78,11.0,8.0,2.0,0.0,0.0,1.0,22.6,0.29
Dwight Howard,C-F,PHI,80,4.0,11.0,1.0,0.0,1.0,1.0,20.7,0.26
Danilo Gallinari,F,ATL,81,6.0,5.0,4.0,0.0,1.0,1.0,20.0,0.25
Rui Hachimura,F,WAS,79,11.0,7.0,1.0,0.0,0.0,3.0,17.9,0.23
Furkan Korkmaz,F-G,PHI,76,13.0,1.0,0.0,1.0,0.0,1.0,16.2,0.21
Alex Len,C,WAS,76,6.0,5.0,0.0,1.0,0.0,0.0,15.0,0.2
Danny Green,G,PHI,76,5.0,2.0,2.0,0.0,2.0,1.0,15.399999999999999,0.2
Ish Smith,G,WAS,73,10.0,1.0,3.0,0.0,0.0,1.0,14.7,0.2
Seth Curry,G,PHI,76,9.0,0.0,3.0,0.0,0.0,0.0,13.5,0.18
George Hill,G,PHI,77,7.0,1.0,2.0,1.0,0.0,1.0,13.2,0.17
Obi Toppin,F,NYK,75,8.0,3.0,0.0,0.0,1.0,2.0,12.6,0.17
Paul Reed,F,PHI,71,4.0,3.0,0.0,0.0,1.0,0.0,10.6,0.15
Immanuel Quickley,G,NYK,79,4.0,3.0,1.0,1.0,0.0,1.0,11.1,0.14
Lou Williams,G,ATL,79,5.0,0.0,1.0,2.0,0.0,2.0,10.5,0.13
Raul Neto,G,WAS,75,4.0,3.0,1.0,0.0,0.0,0.0,9.1,0.12
Shake Milton,F-G,PHI,78,0.0,0.0,3.0,1.0,1.0,2.0,8.5,0.11
Nerlens Noel,C-F,NYK,80,2.0,5.0,0.0,0.0,0.0,0.0,8.0,0.1
Chandler Hutchison,F-G,WAS,73,4.0,2.0,1.0,0.0,0.0,1.0,6.9,0.09
