PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,SCR,AVG
James Harden,G,BKN,95,30.1,8.6,11.6,1.3,0.8,64.12,0.67
Russell Westbrook,G,WAS,86,21.4,9.1,9.4,1.4,0.3,51.52,0.6
Nikola Jokic,C,DEN,95,25.9,10.3,8.4,1.4,0.6,56.86,0.6
Ben Simmons,F-G,PHI,88,18.6,8.9,8.4,2.0,0.9,50.58,0.57
Bradley Beal,G,WAS,90,30.0,5.1,4.8,1.4,0.5,49.02,0.54
Julius Randle,C-F,NYK,87,21.9,10.1,5.6,0.9,0.3,46.02,0.53
Damian Lillard,G,POR,94,28.8,4.3,7.5,1.0,0.3,49.11,0.52
Nikola Vucevic,C,ORL,87,22.8,10.3,3.6,0.9,0.6,45.06,0.52
Tobias Harris,F,PHI,86,22.5,8.4,3.5,1.0,0.9,43.53,0.51
Jimmy Butler,F,MIA,90,20.1,6.2,6.5,1.9,0.5,44.49,0.49
Bam Adebayo,C-F,MIA,88,17.6,8.7,5.1,0.9,0.9,41.09,0.47
Brandon Ingram,F,NOP,85,23.1,5.5,4.3,0.6,0.6,39.75,0.47
Zion Williamson,F,NOP,89,24.3,7.3,3.2,0.8,0.6,42.06,0.47
Jordan Poole,G,GSW,72,21.1,3.5,3.0,0.9,0.2,33.1,0.46
Andrew Wiggins,F-G,GSW,79,20.0,5.2,2.5,1.1,0.9,35.99,0.46
CJ McCollum,G,POR,88,24.8,4.0,4.3,1.1,0.3,40.25,0.46
Draymond Green,F,GSW,80,7.9,7.2,8.2,1.6,0.9,36.34,0.45
Devin Booker,G,PHX,88,23.8,3.8,4.8,0.8,0.3,38.86,0.44
Jamal Murray,G,DEN,86,21.3,3.9,4.9,1.1,0.3,37.53,0.44
Montrezl Harrell,C-F,LAL,82,17.9,7.5,1.6,0.9,1.2,35.6,0.43
Chris Paul,G,PHX,88,15.2,4.5,8.1,1.4,0.3,37.85,0.43
Michael Porter Jr.,F,DEN,82,18.0,8.2,1.1,0.9,1.1,35.49,0.43
Kyle Kuzma,F,LAL,76,16.0,7.5,1.8,0.5,0.8,31.6,0.42
Dennis Schroder,G,LAL,77,16.2,3.5,5.0,1.1,0.3,32.1,0.42
Lonzo Ball,G,NOP,80,14.0,4.7,5.3,1.4,0.6,33.59,0.42
Dwight Howard,C-F,PHI,79,10.1,11.7,1.1,0.6,1.5,32.09,0.41
Kelly Oubre Jr.,F-G,GSW,79,16.6,5.8,1.4,1.1,0.8,31.36,0.4
RJ Barrett,F-G,NYK,79,17.1,5.5,3.0,0.7,0.3,31.2,0.39
Enes Kanter,C,POR,80,11.9,11.1,1.3,0.6,0.7,31.07,0.39
Talen Horton-Tucker,G,LAL,75,12.3,3.8,3.9,1.3,0.9,29.31,0.39
Aaron Gordon,F,ORL,80,13.9,6.1,3.6,0.6,0.6,30.22,0.38
Deandre Ayton,C,PHX,84,13.5,10.1,1.4,0.4,1.1,32.22,0.38
Will Barton,G,DEN,75,13.6,4.6,3.4,1.0,0.4,28.42,0.38
Evan Fournier,F-G,ORL,82,17.3,2.8,3.4,1.0,0.3,29.66,0.36
Robert Covington,F,POR,77,9.4,6.5,1.6,1.5,1.1,27.4,0.36
DeAndre Jordan,C,BKN,79,9.2,9.3,2.0,0.3,1.4,28.46,0.36
Rui Hachimura,F,WAS,77,13.9,6.3,1.8,1.0,0.1,27.46,0.36
Elfrid Payton,G,NYK,74,11.6,3.9,4.2,0.9,0.3,26.18,0.35
Nicolas Claxton,C-F,BKN,74,10.2,4.7,1.4,0.8,1.8,25.74,0.35
Joe Harris,F-G,BKN,79,16.8,4.0,1.9,0.6,0.3,27.15,0.34
Carmelo Anthony,F,POR,79,15.0,3.9,1.8,0.9,0.7,27.18,0.34
Tyler Herro,G,MIA,80,14.4,4.8,3.0,0.6,0.3,27.36,0.34
Derrick Rose,G,NYK,81,14.3,2.3,4.2,1.0,0.3,27.26,0.34
Seth Curry,G,PHI,76,13.8,2.7,2.6,1.1,0.3,25.14,0.33
Danny Green,F-G,PHI,75,9.9,4.2,1.8,1.4,0.9,24.54,0.33
Terrence Ross,F-G,ORL,77,15.3,3.2,1.9,0.9,0.3,25.59,0.33
Mikal Bridges,F,PHX,83,13.2,4.4,2.3,0.9,0.8,27.03,0.33
Steven Adams,C,NOP,80,8.3,9.1,1.9,0.9,0.6,26.57,0.33
Alex Caruso,G,LAL,74,8.8,3.6,3.5,1.5,0.3,23.77,0.32
Goran Dragic,G,MIA,80,13.3,3.0,4.4,0.6,0.1,25.6,0.32
Eric Bledsoe,G,NOP,78,11.8,3.6,3.9,0.8,0.3,25.27,0.32
Shake Milton,F-G,PHI,78,13.7,2.5,3.0,0.8,0.3,24.5,0.31
Michael Carter-Williams,G,ORL,74,8.8,3.9,4.0,0.7,0.4,22.78,0.31
Josh Hart,G,NOP,77,9.2,6.8,1.9,0.8,0.3,23.51,0.31
Alec Burks,G,NYK,77,11.7,4.0,2.1,0.8,0.3,22.95,0.3
Mitchell Robinson,C-F,NYK,82,8.1,7.1,0.5,0.9,1.4,24.27,0.3
Paul Millsap,F,DEN,79,9.9,5.0,1.5,0.9,0.6,22.65,0.29
Bruce Brown,F-G,BKN,77,9.6,5.0,2.0,0.8,0.3,21.9,0.28
Kelly Olynyk,C-F,MIA,74,8.9,4.7,1.7,0.7,0.5,20.69,0.28
Jeff Green,F,BKN,76,11.4,4.0,1.6,0.6,0.3,21.3,0.28
Alex Len,C,WAS,75,7.9,4.8,1.1,0.4,1.3,20.41,0.27
Nickeil Alexander-Walker,G,NOP,76,8.9,3.2,2.3,1.1,0.3,20.39,0.27
Markieff Morris,F,LAL,74,8.6,5.3,1.5,0.5,0.4,19.91,0.27
Reggie Bullock,F-G,NYK,73,10.1,3.5,1.4,0.8,0.2,19.4,0.27
Duncan Robinson,F,MIA,75,11.6,3.4,1.5,0.5,0.2,20.03,0.27
Jaxson Hayes,C-F,NOP,76,7.7,5.3,0.8,0.6,0.8,19.46,0.26
Derrick Jones Jr.,F-G,POR,76,7.8,4.3,0.9,0.8,0.9,19.41,0.26
Raul Neto,G,WAS,76,8.4,2.6,2.5,1.3,0.1,19.47,0.26
Facundo Campazzo,G,DEN,74,6.8,1.9,3.5,1.3,0.4,19.43,0.26
Nerlens Noel,C-F,NYK,77,4.9,5.4,0.7,0.8,1.6,19.63,0.25
Tony Bradley,C-F,PHI,75,6.2,6.3,1.0,0.3,0.9,18.86,0.25
