PLAYER_NAME,POSITION,TEAM,RATING,GP,PTS,REB,AST,TOV,STL,BLK,SCR,AVG
Nikola Jokic,C,DEN,95,3,30.33,13.33,9.67,3.0,1.67,1.0,65.83,0.69
Luka Doncic,F-G,DAL,93,3,39.0,7.33,7.33,4.33,1.33,0.67,60.47,0.65
Donovan Mitchell,G,UTA,88,3,34.33,5.0,6.0,3.33,2.0,0.0,52.0,0.59
Karl-Anthony Towns,C-F,MIN,89,3,32.67,9.67,3.33,3.33,1.0,0.67,50.93,0.57
John Collins,C-F,ATL,84,3,23.0,8.67,1.0,0.67,1.33,2.33,45.23,0.54
James Harden,G,BKN,95,3,23.33,5.33,11.33,3.33,2.33,0.33,51.4,0.54
Jrue Holiday,G,MIL,86,3,22.67,5.33,7.67,2.33,1.67,0.67,45.23,0.53
Fred VanVleet,G,TOR,85,3,22.33,5.0,6.0,2.0,2.67,0.67,45.33,0.53
Rudy Gobert,C,UTA,88,3,15.33,13.0,1.0,0.67,0.67,4.33,46.77,0.53
Jaylen Brown,F-G,BOS,89,3,26.67,8.0,3.67,2.67,1.67,0.67,46.1,0.52
Jonas Valanciunas,C,MEM,82,3,15.0,16.67,2.33,1.0,0.33,1.0,41.5,0.51
John Wall,G,HOU,82,3,21.33,5.33,8.0,4.0,1.33,0.67,41.73,0.51
Richaun Holmes,C-F,SAC,81,3,17.33,10.33,2.33,1.0,1.0,1.67,40.23,0.5
Nikola Vucevic,C,ORL,87,3,20.67,11.33,4.33,1.67,0.67,0.67,43.1,0.5
Joe Ingles,F-G,UTA,80,3,23.33,5.67,3.0,0.33,1.67,0.0,39.3,0.49
Anthony Edwards,G,MIN,77,3,23.0,6.33,4.0,3.67,1.33,0.33,37.93,0.49
Donte DiVincenzo,G,MIL,77,3,13.33,11.33,4.0,2.0,2.0,0.0,36.93,0.48
Jamal Murray,G,DEN,86,3,26.0,3.0,5.33,3.33,2.33,0.0,41.27,0.48
T.J. McConnell,G,IND,78,3,13.67,4.33,9.67,1.67,1.67,0.33,37.7,0.48
Trae Young,G,ATL,87,3,21.67,4.67,9.33,2.67,0.33,0.33,40.6,0.47
DeMar DeRozan,F-G,SAS,87,3,23.33,2.0,8.33,1.33,0.67,0.67,40.9,0.47
OG Anunoby,F,TOR,78,2,16.0,5.5,1.5,2.0,3.5,1.0,36.35,0.47
De'Aaron Fox,G,SAC,86,3,25.0,4.0,5.67,2.33,1.33,0.0,39.97,0.46
