PLAYER_NAME,POSITION,TEAM,RATING,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,21.1,8.8,9.7,1.2,0.3,4.7,46.01,0.54
Jimmy Butler,F,MIA,90,21.9,7.0,7.4,2.0,0.5,2.1,46.8,0.52
De'Aaron Fox,G,SAC,86,25.0,4.0,7.7,1.5,0.4,3.5,43.55,0.51
Bradley Beal,G,WAS,90,30.7,5.1,4.8,1.3,0.4,3.2,45.92,0.51
Julius Randle,C-F,NYK,87,22.8,10.6,5.4,0.9,0.3,3.3,43.92,0.5
Damian Lillard,G,POR,94,29.5,4.4,7.5,1.0,0.2,3.2,46.43,0.49
Kawhi Leonard,F,LAC,96,26.1,6.1,4.9,1.7,0.6,2.0,45.67,0.48
Bam Adebayo,C-F,MIA,88,18.3,9.3,5.3,0.8,1.1,2.8,40.31,0.46
Paul George,F,LAC,90,23.9,5.9,5.2,1.3,0.5,3.3,40.88,0.45
Ben Simmons,F-G,PHI,88,15.9,7.9,7.5,1.5,0.7,3.5,39.73,0.45
Richaun Holmes,C-F,SAC,81,14.9,10.2,2.0,0.7,1.9,1.7,36.24,0.45
Draymond Green,F,GSW,80,8.0,7.0,9.3,1.9,0.7,3.1,35.05,0.44
DeMar DeRozan,F-G,SAS,87,19.8,4.4,6.6,1.0,0.3,1.7,37.18,0.43
Tobias Harris,F,PHI,86,20.0,7.3,3.0,0.8,0.8,1.8,36.26,0.42
Montrezl Harrell,C-F,LAL,82,17.2,8.1,1.4,0.9,1.1,1.3,33.72,0.41
Dejounte Murray,G,SAS,83,15.8,6.3,5.0,1.6,0.1,2.0,33.96,0.41
Enes Kanter,C,POR,80,13.1,12.3,1.2,0.6,1.0,1.3,33.16,0.41
Kyle Kuzma,F,LAL,76,16.2,8.4,1.4,0.4,0.9,1.7,30.58,0.4
Dennis Schroder,G,LAL,77,16.4,3.8,5.1,1.1,0.3,2.9,29.91,0.39
Harrison Barnes,F,SAC,80,16.9,5.9,3.4,0.8,0.2,1.4,30.68,0.38
Andrew Wiggins,F-G,GSW,79,17.9,4.5,2.2,0.8,0.9,2.0,29.7,0.38
Tyrese Haliburton,G,SAC,83,14.6,3.9,5.4,1.3,0.6,1.9,31.18,0.38
Robert Covington,F,POR,77,9.8,7.0,1.9,1.7,1.2,1.4,28.35,0.37
Buddy Hield,G,SAC,77,17.0,4.6,3.2,0.8,0.3,1.8,28.82,0.37
Dwight Howard,C-F,PHI,79,10.2,11.4,1.0,0.7,1.4,2.6,29.08,0.37
Derrick White,G,SAS,79,14.9,2.8,4.1,1.0,1.1,1.7,29.01,0.37
RJ Barrett,F-G,NYK,79,16.8,5.6,3.1,0.7,0.3,1.8,29.37,0.37
Jakob Poeltl,C,SAS,78,8.5,9.2,2.1,0.7,1.5,1.4,27.89,0.36
Keldon Johnson,F-G,SAS,80,14.2,6.5,2.0,0.8,0.6,1.4,27.8,0.35
Carmelo Anthony,F,POR,79,15.4,4.1,1.8,1.1,0.8,1.2,27.52,0.35
Tyler Herro,G,MIA,80,15.5,5.3,3.1,0.6,0.3,2.2,27.01,0.34
Rui Hachimura,F,WAS,77,14.3,6.1,1.8,0.9,0.1,1.3,26.02,0.34
Talen Horton-Tucker,G,LAL,75,11.7,3.7,2.9,1.2,1.0,1.9,25.19,0.34
Kelly Olynyk,C-F,MIA,74,10.7,5.9,2.1,0.9,0.7,1.3,24.43,0.33
Elfrid Payton,G,NYK,74,12.1,3.7,3.7,0.8,0.3,1.8,23.59,0.32
