PLAYER_NAME,POSITION,TEAM,RATING,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,6.0,23.5,12.0,10.3,1.4,0.4,5.0,65.75,0.62
Karl-Anthony Towns,C-F,MIN,89,6.0,26.0,11.3,4.3,0.8,1.8,3.5,62.31,0.57
Nikola Jokic,C,DEN,95,3.0,24.9,10.5,9.2,1.5,0.6,3.0,60.6,0.57
Joel Embiid,C-F,PHI,95,0.0,28.2,10.1,3.5,1.1,1.5,3.0,50.37,0.53
Stephen Curry,G,GSW,96,0.0,30.8,5.4,6.6,1.5,0.1,3.0,48.98,0.51
Nikola Vucevic,C,CHI,87,3.0,22.2,11.4,3.5,0.9,0.7,1.9,50.03,0.51
Julius Randle,C-F,NYK,87,2.0,23.4,10.1,5.6,0.9,0.2,3.3,47.92,0.5
Christian Wood,F,HOU,85,0.0,22.6,10.5,1.5,1.0,1.5,2.1,42.85,0.5
Trae Young,G,ATL,87,2.0,24.8,4.1,8.9,0.9,0.2,4.0,46.37,0.49
Kawhi Leonard,F,LAC,96,1.0,25.0,7.2,5.0,1.8,0.5,2.0,48.04,0.48
Zion Williamson,F,NOP,89,3.0,26.1,7.3,3.6,1.0,0.7,2.6,48.76,0.48
Jrue Holiday,G,MIL,86,2.0,21.3,4.4,6.2,1.7,0.5,2.1,44.38,0.47
Jayson Tatum,F-G,BOS,90,2.0,24.7,6.5,4.3,1.4,0.5,2.4,46.25,0.47
Jonas Valanciunas,C,MEM,82,0.0,16.7,13.6,1.6,0.6,0.7,1.9,37.42,0.46
Anthony Edwards,G,MIN,77,1.0,20.7,5.2,3.3,1.2,0.4,2.4,36.29,0.45
Ben Simmons,F-G,PHI,88,0.0,15.3,7.5,7.6,1.5,0.6,3.6,38.4,0.44
Terry Rozier,G,CHA,82,1.0,22.6,4.2,3.5,1.4,0.3,2.0,37.99,0.44
Paul George,F,LAC,90,3.0,21.5,6.8,5.0,1.3,0.6,3.5,45.36,0.44
Zach LaVine,F-G,CHI,88,1.0,24.6,4.9,5.1,0.9,0.4,3.5,40.53,0.44
Goga Bitadze,C-F,IND,73,0.0,12.6,7.2,1.6,0.6,2.4,1.2,31.44,0.43
Caris LeVert,G,IND,83,1.0,18.6,4.5,5.6,1.5,0.3,2.2,37.6,0.43
Jaylen Brown,F-G,BOS,89,1.0,23.4,5.5,3.9,1.3,0.5,2.7,40.55,0.43
Khris Middleton,F,MIL,86,0.0,21.3,5.6,5.3,1.1,0.2,2.6,37.27,0.43
Michael Porter Jr.,F,DEN,82,1.0,18.6,8.6,1.2,0.8,1.1,1.3,37.12,0.43
Draymond Green,F,GSW,80,2.0,7.0,7.1,9.4,1.5,0.7,2.8,37.42,0.42
Tobias Harris,F,PHI,86,1.0,20.0,7.4,3.3,0.8,0.7,1.8,38.53,0.42
