PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP_TEN,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,86,5,6.0,21.4,13.4,11.4,0.6,0.4,5.6,63.98,0.6
Kyrie Irving,G,BKN,91,5,3.0,26.8,4.6,9.6,1.0,0.6,2.0,55.52,0.54
Pascal Siakam,F,TOR,83,5,5.0,25.2,6.8,3.0,1.4,0.8,1.6,52.86,0.52
Stephen Curry,G,GSW,96,4,0.0,36.5,7.0,3.5,1.0,0.25,4.25,49.65,0.52
Devin Booker,G,PHX,89,5,3.0,34.4,3.8,4.2,0.6,0.2,2.6,51.06,0.51
Chris Paul,G,PHX,88,5,2.0,19.4,5.0,9.8,1.8,0.0,2.2,47.3,0.49
Chris Boucher,C-F,TOR,80,5,2.0,17.0,8.4,1.6,1.6,1.6,1.0,42.08,0.48
Donovan Mitchell,G,UTA,88,5,3.0,28.4,4.6,4.0,0.8,0.0,1.2,47.12,0.47
Draymond Green,F,GSW,80,4,2.0,9.5,6.75,8.75,2.75,0.75,3.25,41.98,0.47
De'Aaron Fox,G,SAC,87,5,3.0,22.6,3.8,6.2,1.6,0.6,3.2,45.86,0.46
Rudy Gobert,C,UTA,88,5,1.0,15.6,14.4,1.6,0.6,1.8,1.6,42.88,0.46
Kelly Olynyk,C-F,HOU,74,5,3.0,16.0,8.8,2.8,0.8,0.6,2.2,38.76,0.44
CJ McCollum,G,POR,87,5,2.0,21.0,3.0,5.0,1.6,0.8,1.0,42.3,0.44
Malachi Flynn,G,TOR,71,5,0.0,10.8,4.4,4.6,2.4,0.8,1.8,30.78,0.43
Darius Garland,G,CLE,79,5,1.0,18.8,3.4,6.6,1.2,0.2,3.4,35.58,0.43
Collin Sexton,G,CLE,83,5,0.0,23.8,3.0,3.4,1.6,0.0,1.8,35.5,0.43
Andrew Wiggins,F-G,GSW,79,5,1.0,15.6,5.6,3.2,1.4,1.2,1.0,35.92,0.43
Damian Lillard,G,POR,94,5,2.0,23.0,4.0,6.6,1.4,0.4,2.4,44.7,0.43
Harrison Barnes,F,SAC,80,5,0.0,15.0,7.8,3.8,1.4,0.4,1.8,33.66,0.42
Dennis Schroder,G,LAL,77,5,1.0,12.8,3.6,9.2,1.8,0.2,4.2,34.72,0.42
Christian Wood,F,HOU,85,5,0.0,20.4,7.6,1.8,0.8,0.6,1.0,35.42,0.42
