PLAYER_NAME,POSITION,TEAM,RATING,GP,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Russell Westbrook,G,WAS,88,4,9.0,22.25,13.75,12.0,2.25,0.0,5.25,76.25,0.66
Nikola Jokic,C,DEN,95,4,5.0,30.0,13.25,8.5,1.0,1.0,3.25,71.4,0.65
Julius Randle,C-F,NYK,87,4,3.0,31.25,8.25,7.25,2.0,0.25,3.25,61.52,0.64
Joel Embiid,C-F,PHI,95,4,0.0,34.75,11.75,3.25,0.75,0.75,2.25,55.98,0.59
Pascal Siakam,F,TOR,83,2,2.0,25.0,8.5,6.5,1.0,1.5,3.5,52.95,0.59
Clint Capela,C,ATL,86,4,4.0,18.5,20.0,0.25,0.75,2.0,0.75,58.38,0.59
Luka Doncic,F-G,DAL,94,4,0.0,30.0,6.25,9.0,1.0,1.5,3.5,55.0,0.59
Paul George,F,LAC,90,3,5.0,31.0,9.0,4.67,1.67,1.0,4.33,62.47,0.58
Stephen Curry,G,GSW,96,4,0.0,42.75,5.0,5.25,0.0,0.5,3.75,54.38,0.57
De'Aaron Fox,G,SAC,87,4,4.0,26.0,4.0,8.0,2.75,0.25,2.5,57.3,0.57
Nikola Vucevic,C,CHI,87,4,2.0,26.75,10.25,3.5,1.25,0.75,0.75,53.55,0.57
Rudy Gobert,C,UTA,88,3,1.0,13.33,15.67,1.33,1.0,4.33,1.33,50.8,0.55
Isaiah Stewart,C-F,DET,78,4,1.0,16.0,14.25,1.0,1.0,2.0,1.25,44.35,0.54
DeMar DeRozan,F-G,SAS,87,3,1.0,21.0,5.33,9.0,0.67,0.67,1.67,45.23,0.5
Kyrie Irving,G,BKN,91,4,3.0,25.25,3.25,8.0,2.0,0.75,4.25,51.15,0.5
Darius Garland,G,CLE,79,4,1.0,20.5,2.75,8.0,1.25,0.5,2.25,40.8,0.49
Draymond Green,F,GSW,80,4,1.0,7.5,7.75,10.0,2.25,1.25,3.25,41.05,0.49
Malcolm Brogdon,G,IND,84,4,1.0,21.5,7.0,6.5,0.25,0.75,1.75,42.9,0.49
Karl-Anthony Towns,C-F,MIN,88,3,6.0,22.0,9.67,5.0,0.0,1.67,3.0,55.1,0.49
Trae Young,G,ATL,87,3,2.0,24.67,4.0,9.0,1.0,0.0,4.33,45.63,0.48
Bradley Beal,G,WAS,90,4,0.0,32.0,3.0,3.5,1.5,0.25,3.0,43.1,0.48
CJ McCollum,G,POR,87,4,2.0,23.75,5.0,5.5,1.5,0.25,1.25,46.0,0.48
Collin Sexton,G,CLE,83,3,0.0,26.67,5.33,2.67,0.33,1.0,2.33,38.73,0.47
Christian Wood,F,HOU,84,4,0.0,20.75,8.25,1.5,1.25,1.5,1.75,39.4,0.47
Bogdan Bogdanovic,G,ATL,79,4,4.0,22.0,4.75,4.0,1.0,0.25,1.25,44.2,0.46
Ja Morant,G,MEM,85,4,2.0,20.25,6.25,7.0,1.0,0.25,3.0,43.0,0.46
Malachi Flynn,G,TOR,71,4,0.0,14.75,4.75,5.75,1.25,0.0,0.5,32.33,0.46
Goran Dragic,G,MIA,78,3,0.0,17.33,5.0,5.0,1.67,0.33,2.0,34.83,0.45
Kevin Huerter,F-G,ATL,74,4,0.0,17.75,4.25,3.25,1.75,0.25,0.75,32.98,0.45
Kelly Olynyk,C-F,HOU,78,4,1.0,20.5,7.75,2.0,1.25,0.5,3.25,36.8,0.45
Anthony Edwards,G,MIN,81,4,1.0,21.75,3.5,3.5,1.75,0.25,1.75,37.45,0.44
Michael Porter Jr.,F,DEN,84,4,1.0,22.75,7.75,1.0,0.25,1.0,1.5,37.8,0.43
Gary Trent Jr.,F-G,TOR,78,2,1.0,15.0,4.5,1.5,3.5,0.5,1.0,35.65,0.43
Deandre Ayton,C,PHX,84,4,0.0,18.25,11.5,1.0,0.75,0.75,1.75,36.3,0.43
Joe Ingles,F-G,UTA,81,3,1.0,17.33,4.33,7.33,1.0,0.0,2.67,35.87,0.42
Mike Conley,G,UTA,84,3,0.0,13.0,1.33,11.33,1.33,0.67,2.33,35.27,0.42
Grayson Allen,G,MEM,77,4,0.0,21.0,3.5,1.75,1.75,0.0,1.0,32.08,0.42
Jae'Sean Tate,F,HOU,78,4,0.0,14.0,5.75,4.75,1.25,0.75,1.0,33.02,0.42
Dejounte Murray,G,SAS,82,4,0.0,12.25,8.25,6.0,1.25,0.25,1.75,33.9,0.41
Darius Bazley,F-G,OKC,76,4,0.0,20.75,7.5,1.75,0.25,0.25,2.75,31.12,0.41
Derrick White,G,SAS,77,4,0.0,18.75,2.75,4.25,0.25,0.75,0.75,30.68,0.4
Aleksej Pokusevski,C,OKC,73,2,0.0,8.0,5.5,5.0,0.5,3.0,3.5,29.1,0.4
Drew Eubanks,C-F,SAS,75,4,0.0,10.75,9.0,1.25,1.25,1.25,1.25,29.67,0.4
Chris Paul,G,PHX,88,4,1.0,11.5,3.75,9.75,1.75,0.0,0.75,37.12,0.4
Kyle Anderson,F-G,MEM,81,4,0.0,8.0,7.5,6.0,1.0,1.0,0.0,32.0,0.4
Kristaps Porzingis,C-F,DAL,86,3,2.0,17.67,9.67,1.67,0.33,0.67,1.33,37.43,0.39
Bojan Bogdanovic,F,UTA,76,4,0.0,21.25,4.0,2.0,1.0,0.0,2.5,29.55,0.39
Andrew Wiggins,F-G,GSW,80,4,1.0,19.25,5.0,2.25,0.5,0.75,1.5,32.879999999999995,0.39
Bruce Brown,F-G,BKN,77,4,0.0,10.5,7.75,2.5,2.0,0.5,1.25,29.8,0.39
Jordan Clarkson,G,UTA,82,3,0.0,22.33,4.33,2.33,1.0,0.0,1.67,32.37,0.39
Devin Booker,G,PHX,89,4,3.0,18.5,4.25,4.25,1.5,0.5,2.5,39.48,0.38
Caris LeVert,G,IND,83,4,3.0,20.0,4.5,2.0,1.5,0.5,2.75,37.65,0.38
Royce O'Neale,F,UTA,75,3,0.0,11.33,8.33,4.0,0.33,0.67,1.67,28.67,0.38
Kendrick Nunn,G,MIA,76,4,0.0,17.5,3.5,3.75,0.75,0.25,1.25,29.08,0.38
Landry Shamet,G,BKN,71,4,0.0,21.25,1.0,3.75,0.25,0.0,1.75,27.08,0.38
Norman Powell,"['G', 'G']",POR,82,4,0.0,20.5,2.5,3.0,1.25,0.25,2.25,30.25,0.37
Jerami Grant,F,DET,83,2,0.0,21.0,2.0,3.0,1.0,1.0,3.5,30.4,0.37
Naz Reid,C-F,MIN,78,4,0.0,12.0,8.25,1.25,0.5,1.25,0.25,28.78,0.37
Chris Boucher,C-F,TOR,80,4,2.0,14.5,8.5,2.0,0.5,0.75,1.5,33.95,0.37
Dorian Finney-Smith,F,DAL,73,4,0.0,13.5,7.0,1.0,0.75,0.5,0.5,26.65,0.37
