PLAYER_NAME,POSITION,TEAM,RATING,TOP5,PTS,REB,AST,STL,BLK,TOV,SCR,AVG
Joel Embiid,C-F,PHI,95,2.0,30.7,11.9,3.2,1.1,1.8,3.3,59.18,0.58
Jonas Valanciunas,C,MEM,83,4.0,20.4,14.9,2.0,0.8,1.2,1.9,53.38,0.55
Bradley Beal,G,WAS,90,3.0,33.2,5.4,4.6,1.2,0.5,3.5,54.18,0.54
Rudy Gobert,C,UTA,88,2.0,15.1,14.4,1.3,0.6,2.8,1.7,46.83,0.49
Ben Simmons,F-G,PHI,86,2.0,15.6,7.8,7.8,1.8,0.7,3.2,44.96,0.48
Ja Morant,G,MEM,85,3.0,22.4,4.7,8.4,1.2,0.2,3.8,47.04,0.48
Tobias Harris,F,PHI,87,1.0,21.1,7.6,3.5,1.0,0.9,2.0,41.17,0.45
Mike Conley,G,UTA,84,2.0,17.6,4.0,6.6,1.7,0.2,2.2,39.8,0.43
Donovan Mitchell,G,UTA,88,1.0,24.5,4.0,4.5,1.0,0.3,2.6,39.35,0.42
Kyle Anderson,F-G,MEM,81,1.0,14.8,6.7,3.6,1.4,0.9,1.6,35.54,0.41
Jaren Jackson Jr.,C-F,MEM,83,0.0,16.8,6.7,1.2,1.2,1.9,1.7,34.24,0.41
Dillon Brooks,F-G,MEM,76,2.0,18.8,3.4,2.7,1.3,0.4,2.0,34.03,0.4
Jordan Clarkson,G,UTA,79,1.0,18.5,4.0,2.4,0.9,0.1,1.8,30.1,0.36
Danny Green,G,PHI,76,0.0,11.2,4.3,2.0,1.6,0.8,1.2,25.36,0.33
Seth Curry,G,PHI,76,0.0,13.8,2.7,2.8,0.9,0.2,1.2,23.34,0.31
Bojan Bogdanovic,F,UTA,77,1.0,15.9,3.7,1.7,0.6,0.1,1.6,25.39,0.3
Daniel Gafford,C-F,WAS,78,1.0,8.8,5.8,0.8,0.6,1.6,1.2,24.36,0.29
Davis Bertans,F,WAS,77,0.0,13.9,3.6,1.1,0.8,0.2,0.9,21.97,0.29
Royce O'Neale,F,UTA,73,0.0,7.5,6.5,2.5,0.8,0.4,1.3,21.35,0.29
Rui Hachimura,F,WAS,79,0.0,13.2,5.2,1.4,0.7,0.2,1.2,23.04,0.29
Joe Ingles,F-G,UTA,82,1.0,11.4,3.3,4.4,0.7,0.2,1.6,25.06,0.28
Raul Neto,G,WAS,75,0.0,8.4,2.4,2.1,1.2,0.1,0.9,17.43,0.23
Desmond Bane,G,MEM,74,0.0,8.6,2.9,1.5,0.6,0.3,0.9,16.13,0.22
Dwight Howard,C-F,PHI,80,0.0,5.5,6.4,0.7,0.4,0.8,1.2,16.63,0.21
Grayson Allen,G,MEM,77,0.0,8.9,2.6,1.6,0.8,0.2,0.9,16.52,0.21
Derrick Favors,F,UTA,79,0.0,4.8,4.9,0.6,0.4,0.9,0.6,14.88,0.19
De'Anthony Melton,G,MEM,77,1.0,6.8,2.3,1.7,0.8,0.4,0.9,16.810000000000002,0.19
Alex Len,C,WAS,76,0.0,5.8,3.7,0.7,0.2,1.0,0.8,14.09,0.19
Matisse Thybulle,F-G,PHI,74,1.0,3.4,1.6,0.8,1.1,0.8,0.4,13.82,0.16
Georges Niang,F,UTA,73,0.0,6.5,2.2,0.8,0.3,0.1,0.7,10.84,0.15
George Hill,G,PHI,77,0.0,6.0,1.6,1.7,0.5,0.1,0.7,11.57,0.15
Robin Lopez,C,WAS,76,0.0,5.7,2.7,0.5,0.2,0.5,0.7,11.09,0.15
Shake Milton,F-G,PHI,78,0.0,5.9,1.2,1.4,0.3,0.2,0.8,10.14,0.13
Tyus Jones,G,MEM,75,0.0,3.1,1.0,1.7,0.4,0.1,0.4,7.95,0.11
Chandler Hutchison,F-G,WAS,73,0.0,2.9,2.2,0.5,0.4,0.2,0.5,7.59,0.1
Xavier Tillman,F,MEM,76,0.0,2.7,1.9,0.5,0.3,0.2,0.3,6.93,0.09
Furkan Korkmaz,F-G,PHI,76,1.0,3.9,0.9,0.7,0.3,0.1,0.3,8.93,0.09
Tyrese Maxey,G,PHI,77,0.0,2.2,0.6,0.6,0.1,0.1,0.2,4.22,0.05
Brandon Clarke,F-G,MEM,81,0.0,0.2,0.2,0.1,0.1,0.1,0.0,1.19,0.01
Jarrell Brantley,F,UTA,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrison Mathews,G,WAS,73,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Anthony Gill,F,WAS,69,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.22,0.0
Isaac Bonga,G,WAS,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Clark,F,PHI,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ersan Ilyasova,F,UTA,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Trent Forrest,G,UTA,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
