Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,OPP Rank,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"Nikola Jokic","DEN","C",59.6,10900,5.5,1.7,29.2,"MEM",11,7,-3.5,115.5,227.5,36,25.1,7.8,10.1,1.5,0.6,3.9,16.9,9.1,31.5,50,60.9
"Joel Embiid","PHI","C",54.8,10700,5.1,1.8,34.1,"WAS",23,29,-5,"N/A","",31,29.9,3.8,12.2,1.1,1.6,9.1,20,10,31.1,50,55.5
"LeBron James","LAL","PG",51.2,10400,4.9,1.4,31.9,"IND",8,4,-4.5,111,217.5,37,25.8,8.1,8.9,1.3,0.8,4.1,18.5,9.6,24.4,50,57.2
"Russell Westbrook","WAS","PG",50.5,10200,5,1.4,31,"PHI",6,9,5,"N/A","",36,20.3,9.3,8.9,1.1,0.3,3.6,18.6,8.3,16.2,40,46.1
"Bradley Beal","WAS","SG",49.8,9700,5.1,1.4,35.6,"PHI",6,21,5,"N/A","",36,30.4,5.1,5.2,1.3,0.5,6.6,22.1,10.4,24.5,50,52.4
"Nikola Vucevic","ORL","C",49.6,10300,4.8,1.6,29.4,"SAS",20,25,7,"N/A","",32,22.4,3.5,11.4,0.9,0.6,2.1,17.2,8.1,24.2,50,54.8
"Domantas Sabonis","IND","PF",47.1,9900,4.8,1.3,24.8,"LAL",2,3,4.5,106.5,217.5,36,19.8,5.6,11.6,1.1,0.6,3.9,14.6,7.4,20,50,55.6
"Jimmy Butler","MIA","SF",47.1,9200,5.1,1.3,27.4,"CHI",23,26,-3,"N/A","",35,20,7,6.9,1.9,0.5,5.8,13,6.5,25.4,50,46.7
"Zach LaVine","CHI","SG",45.4,9600,4.7,1.3,31.1,"MIA",18,16,3,"N/A","",35,27.7,5.1,4.9,1,0.4,4.7,19.2,9.5,22.8,50,61.5
"Kevin Porter Jr.","HOU","SG",42.3,3200,13.2,1.8,"0","UTA",12,5,15.5,"N/A","",24,8.5,2.2,3,0.9,0.4,1.4,8,3.4,"0",40,"0"
"Zion Williamson","NOP","PF",41.9,9100,4.6,1.2,28.6,"CLE",30,25,-8,117.25,226.5,34,24.7,3.5,6.7,0.9,0.6,5.6,15.1,9.2,26.8,60,61.9
"Donovan Mitchell","UTA","PG",41.4,8800,4.7,1.1,32.2,"HOU",18,22,-15.5,"N/A","",37,24.6,5,5.1,1,0.3,4.4,19.2,8.3,19,40,50.4
"Brandon Ingram","NOP","SF",40.2,8300,4.8,1.1,27.6,"CLE",26,27,-8,117.25,226.5,36,24.3,4.6,5.3,0.8,0.6,4.5,16.9,8.3,20.4,50,53.8
"Malcolm Brogdon","IND","PG",39.4,8000,4.9,1.2,26.1,"LAL",7,25,4.5,106.5,217.5,33,19.9,5.9,4.5,1.1,0.2,2.5,17,7.3,17.6,40,51.4
"Rudy Gobert","UTA","C",39.1,7800,5,1.2,17.7,"HOU",18,18,-15.5,"N/A","",34,14,1.5,14.4,0.6,2.7,3.5,7.9,5.1,22.5,60,64.1
"Tobias Harris","PHI","PF",38.2,8300,4.6,1.2,22.9,"WAS",22,24,-5,"N/A","",33,20.9,3.7,7.8,0.8,0.8,3.1,16.4,8,19.4,50,56.7
"Ja Morant","MEM","PG",37.7,8100,4.7,1.3,28.9,"DEN",10,26,3.5,112,227.5,30,19.9,7.8,3.5,1.1,0.2,4.1,15.4,7.1,19.3,50,48.2
"Victor Oladipo","HOU","PG",37.5,8300,4.5,1.1,30.3,"UTA",12,5,15.5,"N/A","",35,19.5,4.4,5.3,1.4,0.4,3.1,17.5,6.6,14.4,40,44.9
"Jamal Murray","DEN","PG",37,8400,4.4,1.2,25.2,"MEM",11,12,-3.5,115.5,227.5,32,22.2,4.7,4.2,1.1,0.3,3.1,16.7,8.1,18.7,50,56.7
"John Wall","HOU","PG",36.9,8100,4.6,1.7,31.5,"UTA",1,5,15.5,"N/A","",22,19.6,5.9,3.4,0.9,0.7,3.2,16.7,6.7,16.5,40,48.2
"Jonas Valanciunas","MEM","C",36.3,7700,4.7,1.4,24.1,"DEN",10,1,3.5,112,227.5,26,14.9,1.6,10.2,0.6,0.8,2.2,10.6,5.9,20.9,60,55.6
"Collin Sexton","CLE","PG",36,8100,4.4,0.9,28.1,"NOP",19,28,8,109.25,226.5,39,22.9,4.2,2.8,1.2,0.1,3.8,16.1,7.8,17.3,50,53.3
"Dejounte Murray","SAS","PG",35.9,7500,4.8,1.2,23.3,"ORL",19,30,-7,"N/A","",31,15.8,5.4,6.4,1.5,0.1,1.7,13.8,6.5,16.9,50,48.9
"Jarrett Allen","CLE","C",32.6,8600,3.8,1,17.7,"NOP",19,26,8,109.25,226.5,32,13.3,1.7,9.7,0.6,1.8,2.6,6.8,4.6,24.6,70,67.7
"Mike Conley","UTA","PG",32.6,6400,5.1,1.1,22.7,"HOU",18,22,-15.5,"N/A","",29,17.3,5.8,3.8,1.4,0.2,3,12.8,5.7,19.2,40,55.5
"Myles Turner","IND","C",32.2,6300,5.1,1.1,17.3,"LAL",2,13,4.5,106.5,217.5,29,13.1,1,6.8,0.9,3,2.2,10.4,4.7,16.5,50,55.9
"Lonzo Ball","NOP","PG",31.6,7000,4.5,0.9,20,"CLE",30,27,-8,117.25,226.5,35,15.1,5.7,4.5,1.5,0.6,0.8,11,4.9,15,40,54.9
"Coby White","CHI","PG",31.2,6800,4.6,0.9,22.4,"MIA",18,19,3,"N/A","",35,16.8,4.7,5,0.5,0.2,2.1,14.9,6.2,12.1,40,50.4
"Aaron Gordon","ORL","SF",31.2,6700,4.7,1.2,23.4,"SAS",15,6,7,"N/A","",26,12.2,3.2,6.3,0.6,0.6,2.2,11.1,4.7,14.7,40,50
