Name,Team,Pos,Projection,Salary,Pts/$1k,FPPM,USG%,Opp,OPP Rank,DVP,Spread,Total,O/U,Minutes,PTS,AST,REB,STL,BLK,FT,FGA,FGM,PER,FG%,eFG%
"James Harden","BKN","SG",58.7,11300,5.2,1.5,27.8,"POR",22,18,1.5,117.5,236.5,40,30.1,11.6,8.6,1.3,0.8,7.8,21.3,9.8,24.9,50,56.1
"Nikola Jokic","DEN","C",52.2,11000,4.7,1.4,29.2,"ORL",29,3,-7.5,112,216.5,38,25.9,8.4,10.3,1.4,0.6,3.8,17.4,9.8,31.7,60,61
"Damian Lillard","POR","PG",48.1,9400,5.1,1.3,32.8,"BKN",17,4,-1.5,119,236.5,38,28.8,7.5,4.3,1,0.3,6.2,19.1,8.9,27.2,50,55.9
"Russell Westbrook","WAS","PG",48,11100,4.3,1.3,31.8,"NYK",18,21,2,111.75,225.5,36,21.4,9.4,9.1,1.4,0.3,4,19.9,8.8,17.9,40,47.7
"Julius Randle","NYK","PF",47.5,10000,4.8,1.2,27.9,"WAS",22,26,-2,113.75,225.5,39,21.9,5.6,10.1,0.9,0.3,4.2,15.5,7.6,20.4,50,52.5
"Bradley Beal","WAS","SG",47.4,9600,4.9,1.4,34.7,"NYK",24,14,2,111.75,225.5,35,30,4.8,5.1,1.4,0.5,6.5,22.8,10.7,24,50,53.8
"Jimmy Butler","MIA","SF",46.5,9500,4.9,1.4,27.4,"PHX",1,8,1,"N/A","",34,20.1,6.5,6.2,1.9,0.5,5.8,12.2,5.9,26.5,50,49.2
"Ben Simmons","PHI","PG",45.8,8200,5.6,1.2,21,"GSW",27,2,-3,"N/A","",37,18.6,8.4,8.9,2,0.9,4,14.3,7.7,19.2,50,57.1
"Tobias Harris","PHI","PF",41.8,8800,4.8,1.1,23.8,"GSW",13,14,-3,"N/A","",39,22.5,3.5,8.4,1,0.9,3.5,18.3,8.5,20.3,50,56
"Zion Williamson","NOP","PF",41.6,8600,4.8,1.4,28.7,"LAL",7,5,-6,114,222,30,24.3,3.2,7.3,0.8,0.6,5.7,15.6,9.1,27,60,62.5
"Nikola Vucevic","ORL","C",41.5,10200,4.1,1.2,29.9,"DEN",10,1,7.5,104.5,216.5,36,22.8,3.6,10.3,0.9,0.6,1.9,16.9,8.6,23.8,50,54.7
"Bam Adebayo","MIA","PF",40.7,8000,5.1,1.2,24.2,"PHX",1,16,1,"N/A","",34,17.6,5.1,8.7,0.9,0.9,4.3,11.2,6.2,22.4,60,56.1
"Brandon Ingram","NOP","SF",39.8,7600,5.2,1.3,28,"LAL",2,1,-6,114,222,31,23.1,4.3,5.5,0.6,0.6,4.5,17.4,8.1,20.2,50,54
"CJ McCollum","POR","SG",39.3,7500,5.2,1.2,29.3,"BKN",17,2,-1.5,119,236.5,32,24.8,4.3,4,1.1,0.3,2.1,17.6,8.2,24.3,50,56.5
"Chris Paul","PHX","PG",38.1,7500,5.1,1.4,22.4,"MIA",7,19,1,"N/A","",28,15.2,8.1,4.5,1.4,0.3,2.5,11.2,5.3,20.1,50,54
"Devin Booker","PHX","SG",37.8,7700,4.9,1.3,32.2,"MIA",7,15,1,"N/A","",30,23.8,4.8,3.8,0.8,0.3,4.7,16.9,8.1,18.7,50,55
"Draymond Green","GSW","PF",37.1,7000,5.3,1.2,12.9,"PHI",2,9,3,"N/A","",30,7.9,8.2,7.2,1.6,0.9,1.5,7.5,3.2,11.9,40,44.3
"Jamal Murray","DEN","PG",36.8,7800,4.7,1,24.8,"ORL",19,30,-7.5,112,216.5,36,21.3,4.9,3.9,1.1,0.3,2.8,16.9,8.2,18.3,50,56.4
"Montrezl Harrell","LAL","C",36.3,7500,4.8,1.2,21.2,"NOP",16,25,6,108,222,31,17.9,1.6,7.5,0.9,1.2,3.2,12.3,7.6,23.5,60,64.1
