,Name,PTS,REB,AST,STL,BLK,TOV
0,Nikola Jokic,26.8,10.7,8.3,1.5,0.7,3.3
1,Joel Embiid,29.2,10.9,2.9,1.0,1.7,3.1
2,Russell Westbrook,22.4,10.3,10.4,1.5,0.4,4.8
3,Luka Doncic,27.9,7.8,8.4,1.0,0.6,4.2
4,Paul George,26.8,6.8,6.4,1.3,0.6,3.7
5,Karl-Anthony Towns,24.4,10.5,4.2,0.7,1.4,3.1
6,Jimmy Butler,22.3,6.6,7.1,2.0,0.4,2.2
7,Nikola Vucevic,23.8,10.7,3.4,0.9,0.8,1.8
8,Julius Randle,23.3,10.3,5.6,0.9,0.3,3.4
9,Bradley Beal,29.2,4.8,4.9,1.2,0.3,3.3
10,Bam Adebayo,18.7,9.2,5.1,1.2,1.4,2.8
11,Rudy Gobert,14.8,13.8,1.4,0.5,2.7,1.8
12,Zion Williamson,25.1,7.1,3.6,0.9,0.7,2.7
13,Brandon Ingram,24.2,5.0,4.9,0.8,0.6,2.5
14,Kristaps Porzingis,21.0,9.2,1.7,0.5,1.5,1.4
15,Pascal Siakam,20.7,6.9,4.3,1.1,0.7,2.2
16,Fred VanVleet,19.7,4.1,6.0,1.6,0.7,2.0
17,DeMar DeRozan,21.0,4.4,7.0,1.0,0.2,2.0
18,Clint Capela,14.7,12.8,0.9,0.7,2.0,1.2
19,Tobias Harris,20.2,7.3,3.4,1.0,0.9,1.8
20,Jonas Valanciunas,17.4,12.5,1.9,0.6,0.8,1.8
21,Andre Drummond,15.1,11.9,2.4,1.5,1.0,2.9
22,Devin Booker,25.3,4.1,4.6,0.8,0.3,3.2
23,Chris Paul,16.1,4.4,8.3,1.6,0.2,2.2
24,Kyle Lowry,17.5,5.1,7.2,1.2,0.2,2.8
25,Jarrett Allen,14.3,10.9,1.8,0.6,1.8,1.8
26,Dejounte Murray,15.8,6.2,5.0,1.6,0.2,1.9
27,Mike Conley,17.5,3.6,6.2,1.5,0.2,2.1
28,Jerami Grant,21.7,4.7,2.6,0.7,0.9,2.0
29,Jaren Jackson Jr.,14.3,7.7,0.2,0.1,3.4,0.4
30,Ja Morant,18.5,3.7,7.2,0.8,0.2,3.0
31,OG Anunoby,16.2,6.2,2.2,1.7,0.8,1.9
32,Richaun Holmes,13.8,9.1,1.6,0.6,1.6,1.3
33,John Collins,17.8,7.2,1.3,0.6,1.1,1.2
34,Dennis Schroder,16.6,4.0,5.9,1.3,0.2,2.9
35,Wendell Carter Jr.,13.4,9.7,2.2,0.8,1.0,1.9
36,Jakob Poeltl,10.0,10.4,1.9,0.8,1.9,1.7
37,Michael Porter Jr.,17.3,7.8,1.1,0.6,0.9,1.2
38,Kevin Love,16.3,8.5,2.8,0.8,0.1,1.8
39,D'Angelo Russell,19.1,2.8,4.9,1.1,0.4,2.8
40,Lonzo Ball,14.3,4.0,5.6,1.4,0.6,2.0
41,Deandre Ayton,14.1,10.3,1.2,0.5,1.1,1.6
42,Darius Garland,17.3,2.7,6.1,1.2,0.1,3.0
43,RJ Barrett,17.2,5.8,3.0,0.9,0.3,2.0
44,Anthony Edwards,17.9,4.4,2.8,1.1,0.4,2.2
45,Kyle Anderson,12.7,5.9,3.3,1.3,0.8,1.4
46,Anthony Davis,14.5,5.8,2.1,0.9,1.1,1.3
47,Harrison Barnes,15.4,6.0,3.5,0.7,0.2,1.5
48,Tyrese Haliburton,13.1,3.1,4.6,1.3,0.5,1.5
49,Ivica Zubac,11.2,9.2,1.3,0.4,1.2,1.4
50,Mason Plumlee,9.5,8.4,3.1,0.8,0.8,1.7
51,Derrick White,15.2,3.0,3.2,0.8,0.9,1.4
52,Buddy Hield,16.3,4.4,2.7,0.8,0.3,1.7
53,Aaron Gordon,13.1,5.4,3.6,0.7,0.6,2.0
54,Kyle Kuzma,13.4,6.9,1.7,0.5,0.8,1.9
55,Derrick Rose,13.8,2.5,4.2,1.1,0.5,1.7
56,Tyler Herro,14.5,4.8,3.2,0.7,0.3,1.9
57,Reggie Jackson,14.0,3.6,4.2,0.8,0.1,1.5
58,Bogdan Bogdanovic,14.6,3.7,2.9,0.8,0.3,1.1
59,Nerlens Noel,6.6,7.3,1.0,1.1,2.2,1.3
60,Kevin Huerter,12.7,3.6,3.6,1.2,0.2,1.2
61,Dillon Brooks,15.9,3.0,2.3,1.1,0.3,1.8
62,Coby White,14.2,3.8,4.2,0.6,0.2,2.2
63,Goran Dragic,14.0,3.6,4.5,0.7,0.2,2.6
64,Jordan Clarkson,16.2,3.5,2.1,0.9,0.1,1.5
65,Bojan Bogdanovic,16.2,4.2,1.9,0.7,0.1,1.5
66,Darius Bazley,12.7,7.2,1.6,0.5,0.6,2.1
67,Mikal Bridges,12.0,4.4,2.1,1.0,0.8,0.9
68,Steven Adams,8.0,8.7,2.0,0.9,0.7,1.5
69,Larry Nance Jr.,8.5,5.9,2.6,1.8,0.4,1.4
70,Keldon Johnson,12.9,6.3,1.6,0.6,0.4,1.2
71,Marcus Morris,15.4,4.5,1.3,0.8,0.2,1.1
72,Tony Bradley,9.7,8.0,1.2,0.5,1.0,1.0
73,Ricky Rubio,8.3,3.1,6.3,1.4,0.1,1.8
74,Chuma Okeke,9.6,5.0,2.6,1.2,0.7,1.2
75,Daniel Gafford,8.8,6.4,0.8,0.6,1.8,1.2
76,Danilo Gallinari,14.7,4.4,1.5,0.6,0.2,1.0
77,Jalen Brunson,13.0,3.6,3.5,0.6,0.1,1.3
78,Josh Richardson,12.5,3.5,2.6,0.9,0.4,1.3
79,Moses Brown,8.7,8.0,0.3,0.6,1.2,1.0
80,Tim Hardaway Jr.,15.6,3.3,1.8,0.5,0.1,1.0
81,Drew Eubanks,8.2,6.6,1.4,0.6,1.4,1.2
82,Cole Anthony,10.8,4.4,3.8,0.6,0.4,1.9
83,Eric Bledsoe,11.8,3.4,3.6,0.8,0.3,1.7
